t_rel_s,arm_angle_rad,motor_speed_rad_s,pwm_us,ref_angle_rad
2.381553,0.401496,-0.000000,2000,0.000000
2.433672,0.401496,-0.000000,2000,0.000000
2.481057,0.401496,-0.000000,2000,0.000000
2.533207,0.401496,-0.000000,2000,0.000000
2.585532,0.401496,-0.000000,2000,0.000000
2.585532,0.401496,-0.000000,2000,0.000000
2.685466,0.401496,-0.000000,2000,0.000000
2.737123,0.401496,-0.000000,2000,0.000000
2.788969,0.401496,-0.000000,2000,0.000000
2.836486,0.401496,-0.000000,2000,0.000000
2.889226,0.401496,-0.000000,2000,0.000000
2.941655,0.401496,-0.000000,2000,0.000000
2.941655,0.401496,-0.000000,2000,0.000000
3.040607,0.401496,-0.000000,2000,0.000000
3.040607,0.401496,-0.000000,2000,0.000000
3.140318,0.401496,-0.000000,2000,0.000000
3.192797,0.401496,-0.000000,2000,0.000000
3.192797,0.401496,-0.000000,2000,0.000000
3.292067,0.401496,-0.000000,2000,0.000000
3.292067,0.401496,-0.000000,2000,0.000000
3.344331,0.401496,-0.000000,2000,0.000000
3.396866,0.401496,-0.000000,2000,0.000000
3.444193,0.401496,-0.000000,2000,0.000000
3.496650,0.401496,-0.000000,2000,0.000000
3.548668,0.401496,-0.000000,2000,0.000000
3.595700,0.401496,-0.000000,2000,0.000000
3.648163,0.401496,-0.000000,2000,0.000000
3.701192,0.401496,-0.000000,2000,0.000000
3.748516,0.401496,-0.000000,2000,0.000000
3.748516,0.401496,-0.000000,2000,0.000000
3.852489,0.401496,-0.000000,2000,0.000000
3.899596,0.401496,-0.000000,2000,0.000000
3.952908,0.401496,-0.000000,2000,0.000000
4.004857,0.401496,-0.000000,2000,0.000000
4.051547,0.401496,-0.000000,2000,0.000000
4.103378,0.401496,-0.000000,2000,0.000000
4.156595,0.401496,-0.000000,2000,0.000000
4.203997,0.401496,-0.000000,2000,0.000000
4.256118,0.401496,-0.000000,2000,0.000000
4.308575,0.401496,-0.000000,2000,0.000000
4.355487,0.401496,-0.000000,2000,0.000000
4.355487,0.401496,-0.000000,2000,0.000000
4.355487,0.401496,-0.000000,2000,0.000000
4.511620,0.401496,-0.000000,2000,0.000000
4.558926,0.401496,-0.000000,2000,0.000000
4.558926,0.401496,-0.000000,2000,0.000000
4.663189,0.401496,-0.000000,2000,0.000000
4.715369,0.401496,-0.000000,2000,0.000000
4.715369,0.401496,-0.000000,2000,0.000000
4.814190,0.401496,-0.000000,2000,0.000000
4.866297,0.401496,-0.000000,2000,0.000000
4.913277,0.401496,-0.000000,2000,0.000000
4.965753,0.401496,-0.000000,2000,0.000000
5.017700,0.401496,-0.000000,2000,0.000000
5.017700,0.401496,-0.000000,2000,0.000000
5.116436,0.401496,-0.000000,2000,0.000000
5.116436,0.401496,-0.000000,2000,0.000000
5.116436,0.401496,-0.000000,2000,0.000000
5.272397,0.401496,-0.000000,2000,0.000000
5.319569,0.401496,-0.000000,2000,0.000000
5.371482,0.401496,-0.000000,2000,0.000000
5.423031,0.401496,-0.000000,2000,0.000000
5.475004,0.401496,-0.000000,2000,0.000000
5.522000,0.401496,-0.000000,2000,0.000000
5.573893,0.401496,-0.000000,2000,0.000000
5.625965,0.401496,-0.000000,2000,0.000000
5.678234,0.401496,-0.000000,2000,0.000000
5.725605,0.401496,-0.000000,2000,0.000000
5.777842,0.401496,-0.000000,2000,0.000000
5.830068,0.401496,-0.000000,2000,0.000000
5.830068,0.401496,-0.000000,2000,0.000000
5.830068,0.401496,-0.000000,2000,0.000000
5.982357,0.401496,-0.000000,2000,0.000000
6.029247,0.401496,-0.000000,2000,0.000000
6.081709,0.401496,-0.000000,2000,0.000000
6.133794,0.401496,-0.000000,2000,0.000000
6.133794,0.401496,-0.000000,2000,0.000000
6.233897,0.401496,-0.000000,2000,0.000000
6.286161,0.401496,-0.000000,2000,0.000000
6.286161,0.401496,-0.000000,2000,0.000000
6.385606,0.401496,-0.000000,2000,0.000000
6.437892,0.401496,-0.000000,2000,0.000000
6.485040,0.401496,-0.000000,2000,0.000000
6.485040,0.401496,-0.000000,2000,0.000000
6.589254,0.401496,-0.000000,2000,0.000000
6.636553,0.401496,-0.000000,2000,0.000000
6.636553,0.401496,-0.000000,2000,0.000000
6.741044,0.401496,-0.000000,2000,0.000000
6.741044,0.401496,-0.000000,2000,0.000000
6.840732,0.401496,-0.000000,2000,0.000000
6.892918,0.401496,-0.000000,2000,0.000000
6.892918,0.401496,-0.000000,2000,0.000000
6.945249,0.401496,-0.000000,2000,0.000000
6.945249,0.401496,-0.000000,2000,0.000000
7.043577,0.401496,-0.000000,2000,0.000000
7.095685,0.401496,-0.000000,2000,0.000000
7.147077,0.401496,-0.000000,2000,0.000000
7.198528,0.401496,-0.000000,2000,0.000000
7.244731,0.401496,-0.000000,2000,0.000000
7.295943,0.401496,-0.000000,2000,0.000000
7.295943,0.401496,-0.000000,2000,0.000000
