Recording_Time_s,Arm_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent
14.233202,33.308565,470.754250,1336.00,6.6800
14.283908,33.458372,470.081927,1336.00,6.6800
14.334033,33.753998,471.625063,1336.00,6.6800
14.384968,33.849878,469.940659,1336.00,6.6800
14.435105,33.891422,471.017320,1336.00,6.6800
14.486028,33.924658,469.334347,1336.00,6.6800
14.536896,34.091866,471.372690,1336.00,6.6800
14.586930,33.997133,469.331446,1336.00,6.6800
14.638076,34.044386,470.593299,1336.00,6.6800
14.688900,34.029449,468.724405,1336.00,6.6800
14.739169,34.070239,471.081609,1336.00,6.6800
14.790019,34.067711,469.488773,1336.00,6.6800
14.840895,34.171169,470.921592,1336.00,6.6800
14.891036,34.078155,469.780993,1336.00,6.6800
14.941897,34.003744,471.173414,1336.00,6.6800
14.993230,33.926635,471.359847,1336.00,6.6800
15.043083,33.741888,470.903810,1336.00,6.6800
15.093955,33.699571,471.725043,1336.00,6.6800
15.144964,33.402037,470.533737,1336.00,6.6800
15.195039,33.199169,472.848891,1336.00,6.6800
15.245899,33.265395,471.220088,1336.00,6.6800
15.296998,33.230476,472.465299,1336.00,6.6800
15.346896,33.184961,471.541270,1336.00,6.6800
15.397908,32.990349,472.278809,1336.00,6.6800
15.448974,33.045599,473.305678,1336.00,6.6800
15.498932,33.142539,472.037206,1336.00,6.6800
15.550039,33.290391,473.546550,1336.00,6.6800
15.601005,33.355953,471.795308,1336.00,6.6800
15.651934,33.478702,473.266552,1336.00,6.6800
15.701999,33.735102,473.181674,1336.00,6.6800
15.753151,33.729302,472.364358,1336.00,6.6800
15.803893,33.865281,472.581234,1336.00,6.6800
15.854051,34.185005,471.527644,1336.00,6.6800
15.904895,34.352884,473.289897,1336.00,6.6800
15.955968,34.680547,471.207418,1336.00,6.6800
16.006950,35.012998,472.324015,1336.00,6.6800
16.057030,35.278958,470.169593,1336.00,6.6800
16.107943,35.263207,472.156869,1336.00,6.6800
16.158931,34.969345,470.503424,1336.00,6.6800
16.209031,34.892476,471.421585,1336.00,6.6800
16.260047,34.690341,470.155827,1336.00,6.6800
16.311007,34.511053,471.338738,1336.00,6.6800
16.360899,34.314902,471.465557,1336.00,6.6800
16.412011,33.929462,470.790609,1336.00,6.6800
16.462939,33.796889,470.886023,1336.00,6.6800
16.513163,33.725992,470.516329,1336.00,6.6800
16.563908,33.669273,471.757305,1336.00,6.6800
16.614001,33.518419,470.383859,1336.00,6.6800
16.664923,33.450475,471.756800,1336.00,6.6800
16.715894,33.343380,470.126870,1336.00,6.6800
16.765896,33.240124,472.490545,1336.00,6.6800
16.816996,33.192679,470.950983,1336.00,6.6800
16.867898,33.102003,471.965481,1336.00,6.6800
16.917894,32.959143,470.396813,1336.00,6.6800
16.968871,32.985474,471.779286,1336.00,6.6800
17.019970,33.059279,471.409913,1336.00,6.6800
17.069953,33.118323,471.355941,1336.00,6.6800
17.120935,33.429239,471.955020,1336.00,6.6800
17.171934,33.537331,470.977722,1336.00,6.6800
