Recording_Time_s,Arm_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent
14.058101,27.266559,470.937600,1336.00,6.6800
14.068148,27.260240,470.937600,1336.00,6.6800
14.078250,27.254335,470.937600,1336.00,6.6800
14.088267,27.248622,470.937600,1336.00,6.6800
14.098334,27.243266,470.937600,1336.00,6.6800
14.108359,27.238217,470.937600,1336.00,6.6800
14.118370,27.233723,470.937600,1336.00,6.6800
14.128510,27.229603,470.937600,1336.00,6.6800
14.138546,27.225994,470.937600,1336.00,6.6800
14.148579,27.222996,470.937600,1336.00,6.6800
14.158747,27.220578,470.937600,1336.00,6.6800
14.168682,27.218497,470.937600,1336.00,6.6800
14.178855,27.216749,470.937600,1336.00,6.6800
14.188957,27.215575,470.937600,1336.00,6.6800
14.198935,27.214944,470.937600,1336.00,6.6800
14.209082,27.214880,470.937600,1336.00,6.6800
14.219011,27.215385,470.937600,1336.00,6.6800
14.229024,27.216293,470.937600,1336.00,6.6800
14.239130,27.217822,470.937600,1336.00,6.6800
14.249192,27.219903,470.937600,1336.00,6.6800
14.259270,27.222440,470.937600,1336.00,6.6800
14.269348,27.225547,470.937600,1336.00,6.6800
14.279397,27.228879,470.937600,1336.00,6.6800
14.289498,27.232484,470.937600,1336.00,6.6800
14.299568,27.236704,470.937600,1336.00,6.6800
14.309735,27.241308,470.937600,1336.00,6.6800
14.319697,27.246466,470.937600,1336.00,6.6800
14.329650,27.251861,470.937600,1336.00,6.6800
14.339755,27.257451,470.937600,1336.00,6.6800
14.349797,27.263473,470.937600,1336.00,6.6800
14.359837,27.269757,470.937600,1336.00,6.6800
14.369904,27.276258,470.937600,1336.00,6.6800
14.379888,27.282984,470.937600,1336.00,6.6800
14.389985,27.290132,470.937600,1336.00,6.6800
14.400032,27.297251,470.937600,1336.00,6.6800
14.410088,27.304909,470.937600,1336.00,6.6800
14.420137,27.312670,470.937600,1336.00,6.6800
14.430144,27.320685,470.937600,1336.00,6.6800
14.440188,27.328798,470.937600,1336.00,6.6800
14.450258,27.337117,470.937600,1336.00,6.6800
14.460346,27.345656,470.937600,1336.00,6.6800
14.470323,27.354589,470.937600,1336.00,6.6800
14.480335,27.363844,470.937600,1336.00,6.6800
14.490430,27.373343,470.937600,1336.00,6.6800
14.500487,27.382837,470.937600,1336.00,6.6800
14.510545,27.392629,470.937600,1336.00,6.6800
14.520577,27.402427,470.937600,1336.00,6.6800
14.530576,27.412170,470.937600,1336.00,6.6800
14.540708,27.421835,470.937600,1336.00,6.6800
14.550750,27.431712,470.937600,1336.00,6.6800
14.560858,27.441442,470.937600,1336.00,6.6800
14.570810,27.451110,470.937600,1336.00,6.6800
14.580842,27.460770,470.937600,1336.00,6.6800
14.590906,27.470500,470.937600,1336.00,6.6800
14.600995,27.479882,470.937600,1336.00,6.6800
14.611048,27.489164,470.937600,1336.00,6.6800
14.621135,27.498251,470.937600,1336.00,6.6800
14.631107,27.506962,470.937600,1336.00,6.6800
14.641136,27.515579,470.937600,1336.00,6.6800
14.651239,27.524029,470.937600,1336.00,6.6800
14.661200,27.532522,470.937600,1336.00,6.6800
14.671208,27.540965,470.937600,1336.00,6.6800
14.681284,27.549012,470.937600,1336.00,6.6800
14.691219,27.556926,470.937600,1336.00,6.6800
14.701455,27.564664,470.937600,1336.00,6.6800
14.711429,27.571939,470.937600,1336.00,6.6800
14.721470,27.579016,470.937600,1336.00,6.6800
14.731549,27.585932,470.937600,1336.00,6.6800
14.741675,27.592574,470.937600,1336.00,6.6800
14.751800,27.598824,470.937600,1336.00,6.6800
14.761763,27.604636,470.937600,1336.00,6.6800
14.771796,27.610269,470.937600,1336.00,6.6800
14.781850,27.615689,470.937600,1336.00,6.6800
14.791954,27.620689,470.937600,1336.00,6.6800
14.802015,27.625473,470.937600,1336.00,6.6800
14.811932,27.629923,470.937600,1336.00,6.6800
14.821999,27.633922,470.937600,1336.00,6.6800
14.832080,27.637576,470.937600,1336.00,6.6800
14.842163,27.640941,470.937600,1336.00,6.6800
14.852215,27.643984,470.937600,1336.00,6.6800
14.862151,27.646525,470.937600,1336.00,6.6800
14.872261,27.648973,470.937600,1336.00,6.6800
14.882314,27.650936,470.937600,1336.00,6.6800
14.892483,27.652351,470.937600,1336.00,6.6800
14.902505,27.653212,470.937600,1336.00,6.6800
14.912480,27.653718,470.937600,1336.00,6.6800
14.922548,27.653819,470.937600,1336.00,6.6800
14.932625,27.653494,470.937600,1336.00,6.6800
14.942645,27.652569,470.937600,1336.00,6.6800
14.952715,27.651484,470.937600,1336.00,6.6800
14.962717,27.650142,470.937600,1336.00,6.6800
14.972808,27.648303,470.937600,1336.00,6.6800
14.982804,27.646268,470.937600,1336.00,6.6800
14.992922,27.643665,470.937600,1336.00,6.6800
15.002983,27.640532,470.937600,1336.00,6.6800
15.012872,27.637083,470.937600,1336.00,6.6800
15.023011,27.633412,470.937600,1336.00,6.6800
15.033044,27.629784,470.937600,1336.00,6.6800
15.043170,27.625919,470.937600,1336.00,6.6800
15.053249,27.621670,470.937600,1336.00,6.6800
15.063160,27.616975,470.937600,1336.00,6.6800
15.073286,27.611973,470.937600,1336.00,6.6800
15.083357,27.606573,470.937600,1336.00,6.6800
15.093357,27.600880,470.937600,1336.00,6.6800
15.103540,27.594930,470.937600,1336.00,6.6800
15.113390,27.588881,470.937600,1336.00,6.6800
15.123478,27.582670,470.937600,1336.00,6.6800
15.133550,27.576179,470.937600,1336.00,6.6800
15.143594,27.569491,470.937600,1336.00,6.6800
15.153643,27.562448,470.937600,1336.00,6.6800
