# PropArm Data Recording
# Export Time: 2025-11-19T19:00:49
# Number of Points: 396
# Recording Duration: 19.981 seconds
# Start Time: 2025-11-19T18:59:27
# End Time: 2025-11-19T18:59:47
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
6.069951,59.572282,60.000000,540.063471,1446.00,7.2300,0.427718
6.120871,59.654906,60.000000,541.608190,1439.00,7.1950,0.345094
6.170965,59.685845,60.000000,541.361111,1437.00,7.1850,0.314155
6.221869,59.728176,60.000000,540.153940,1441.00,7.2050,0.271824
6.271863,59.656561,60.000000,541.496314,1439.00,7.1950,0.343439
6.322878,59.564109,60.000000,540.690602,1441.00,7.2050,0.435891
6.373892,59.683507,60.000000,540.494401,1441.00,7.2050,0.316493
6.423928,59.673565,60.000000,541.182841,1439.00,7.1950,0.326435
6.474872,59.542572,60.000000,539.938585,1442.00,7.2100,0.457428
6.524969,59.666278,60.000000,540.872442,1442.00,7.2100,0.333722
6.575888,59.571882,60.000000,540.968481,1439.00,7.1950,0.428118
6.626976,59.637006,60.000000,540.147564,1442.00,7.2100,0.362994
6.677871,59.689105,60.000000,541.157309,1442.00,7.2100,0.310895
6.728152,59.572564,60.000000,541.094383,1439.00,7.1950,0.427436
6.777893,59.532071,60.000000,540.545175,1440.00,7.2000,0.467929
6.828985,59.605157,60.000000,541.844749,1442.00,7.2100,0.394843
6.880018,59.487845,60.000000,541.079157,1439.00,7.1950,0.512155
6.930084,59.534616,60.000000,540.437553,1441.00,7.2050,0.465384
6.980997,59.677493,60.000000,541.910155,1442.00,7.2100,0.322507
7.031082,59.616014,60.000000,540.288122,1438.00,7.1900,0.383986
7.081978,59.619572,60.000000,540.443819,1440.00,7.2000,0.380428
7.132939,59.481797,60.000000,541.884056,1442.00,7.2100,0.518203
7.183966,59.494618,60.000000,540.326072,1447.00,7.2350,0.505382
7.233930,59.522454,60.000000,540.696292,1439.00,7.1950,0.477546
7.284054,59.439243,60.000000,541.841033,1442.00,7.2100,0.560757
7.334995,59.566035,60.000000,539.694123,1441.00,7.2050,0.433965
7.384996,59.702628,60.000000,541.649684,1439.00,7.1950,0.297372
7.436030,59.794322,60.000000,542.731397,1435.00,7.1750,0.205678
7.487021,59.779798,60.000000,540.909827,1439.00,7.1950,0.220202
7.536955,59.943958,60.000000,541.963963,1439.00,7.1950,0.056042
7.588224,60.286227,60.000000,542.965834,1441.00,7.2050,-0.286227
7.638008,60.524881,60.000000,540.616844,1438.00,7.1900,-0.524881
7.689208,60.750965,60.000000,541.790122,1438.00,7.1900,-0.750965
7.739923,60.879092,60.000000,542.284444,1435.00,7.1750,-0.879092
7.790827,60.911294,60.000000,540.121557,1440.00,7.2000,-0.911294
7.840944,60.831575,60.000000,541.705939,1439.00,7.1950,-0.831575
7.891004,60.961160,60.000000,541.698163,1443.00,7.2150,-0.961160
7.941938,61.012088,60.000000,540.907023,1441.00,7.2050,-1.012088
7.991932,60.982530,60.000000,543.075030,1438.00,7.1900,-0.982530
8.042934,60.941304,60.000000,544.443070,1442.00,7.2100,-0.941304
8.093994,61.031363,60.000000,542.764665,1438.00,7.1900,-1.031363
8.144021,60.980371,60.000000,543.077180,1440.00,7.2000,-0.980371
8.194960,60.921997,60.000000,544.463618,1443.00,7.2150,-0.921997
8.244991,60.822557,60.000000,542.711525,1438.00,7.1900,-0.822557
8.296056,60.830906,60.000000,542.785652,1445.00,7.2250,-0.830906
8.346953,61.030945,60.000000,543.826284,1442.00,7.2100,-1.030945
8.397019,61.015196,60.000000,541.391891,1439.00,7.1950,-1.015196
8.448328,61.037737,60.000000,542.088913,1440.00,7.2000,-1.037737
8.497968,61.178829,60.000000,542.664971,1442.00,7.2100,-1.178829
8.548390,61.063183,60.000000,540.481785,1440.00,7.2000,-1.063183
8.599055,61.181607,60.000000,541.888277,1439.00,7.1950,-1.181607
8.649923,61.047825,60.000000,542.053566,1435.00,7.1750,-1.047825
8.700962,61.063840,60.000000,540.200381,1440.00,7.2000,-1.063840
8.751037,61.111812,60.000000,541.707959,1437.00,7.1850,-1.111812
8.801962,60.956830,60.000000,541.716590,1436.00,7.1800,-0.956830
8.851935,60.955904,60.000000,540.570051,1441.00,7.2050,-0.955904
8.902980,60.955163,60.000000,541.508549,1439.00,7.1950,-0.955163
8.954003,61.042450,60.000000,540.508086,1442.00,7.2100,-1.042450
9.004035,61.041980,60.000000,540.626393,1441.00,7.2050,-1.041980
9.054928,60.742764,60.000000,540.493389,1437.00,7.1850,-0.742764
9.104959,60.520971,60.000000,539.716556,1441.00,7.2050,-0.520971
9.155953,60.255637,60.000000,541.043088,1442.00,7.2100,-0.255637
9.205971,60.025790,60.000000,539.408584,1439.00,7.1950,-0.025790
9.256951,59.841912,60.000000,539.891857,1440.00,7.2000,0.158088
9.308389,59.712389,60.000000,540.957583,1442.00,7.2100,0.287611
9.357928,59.696672,60.000000,538.778836,1439.00,7.1950,0.303328
9.408391,59.543477,60.000000,540.437860,1439.00,7.1950,0.456523
9.458934,59.543962,60.000000,540.602686,1443.00,7.2150,0.456038
9.509201,59.421309,60.000000,539.453133,1440.00,7.2000,0.578691
9.559948,59.323188,60.000000,540.677983,1445.00,7.2250,0.676812
9.610940,59.490770,60.000000,539.900806,1442.00,7.2100,0.509230
9.660933,59.624836,60.000000,539.753325,1439.00,7.1950,0.375164
9.712014,59.486009,60.000000,541.246991,1438.00,7.1900,0.513991
9.762938,59.550727,60.000000,541.562203,1441.00,7.2050,0.449273
9.814003,59.760702,60.000000,540.667047,1439.00,7.1950,0.239298
9.863982,60.122041,60.000000,542.330765,1436.00,7.1800,-0.122041
9.914943,60.428693,60.000000,542.612590,1434.00,7.1700,-0.428693
9.965033,60.603694,60.000000,540.512037,1438.00,7.1900,-0.603694
10.015951,60.954636,60.000000,541.479486,1437.00,7.1850,-0.954636
10.067018,61.358428,60.000000,540.201683,1439.00,7.1950,-1.358428
10.117093,61.628743,60.000000,540.064961,1439.00,7.1950,-1.628743
10.168199,61.915294,60.000000,540.166697,1436.00,7.1800,-1.915294
10.217997,62.056655,60.000000,539.119382,1438.00,7.1900,-2.056655
10.269146,62.363104,60.000000,540.680105,1440.00,7.2000,-2.363104
10.319959,62.573103,60.000000,539.021179,1437.00,7.1850,-2.573103
10.369923,62.741103,60.000000,539.350612,1437.00,7.1850,-2.741103
10.419985,63.016122,60.000000,539.997470,1440.00,7.2000,-3.016122
10.470995,63.095518,60.000000,538.194955,1438.00,7.1900,-3.095518
10.522068,62.948094,60.000000,539.463542,1436.00,7.1800,-2.948094
10.571936,62.830155,60.000000,538.162210,1440.00,7.2000,-2.830155
10.623009,62.770964,60.000000,538.957659,1440.00,7.2000,-2.770964
10.673008,62.653291,60.000000,538.488900,1438.00,7.1900,-2.653291
10.723954,62.629473,60.000000,537.839820,1440.00,7.2000,-2.629473
10.773968,62.399479,60.000000,539.324322,1435.00,7.1750,-2.399479
10.824959,62.022123,60.000000,537.098784,1438.00,7.1900,-2.022123
10.874937,61.843278,60.000000,538.715456,1438.00,7.1900,-1.843278
10.926067,61.559583,60.000000,539.092263,1436.00,7.1800,-1.559583
10.977051,61.174426,60.000000,538.231988,1440.00,7.2000,-1.174426
11.026966,60.848721,60.000000,540.240685,1438.00,7.1900,-0.848721
11.077974,60.588157,60.000000,540.149532,1436.00,7.1800,-0.588157
11.128324,60.379705,60.000000,539.202037,1440.00,7.2000,-0.379705
11.178921,60.072324,60.000000,540.369767,1438.00,7.1900,-0.072324
11.229142,59.949459,60.000000,539.362597,1441.00,7.2050,0.050541
11.279936,59.798428,60.000000,540.052477,1439.00,7.1950,0.201572
11.330090,59.484242,60.000000,539.556641,1436.00,7.1800,0.515758
11.380934,59.426254,60.000000,539.045525,1441.00,7.2050,0.573746
11.431959,59.555643,60.000000,540.410011,1440.00,7.2000,0.444357
11.482940,59.571274,60.000000,539.133029,1436.00,7.1800,0.428726
11.533029,59.566199,60.000000,539.435665,1438.00,7.1900,0.433801
11.582941,59.562140,60.000000,541.166595,1440.00,7.2000,0.437860
11.633941,59.558892,60.000000,539.290981,1442.00,7.2100,0.441108
