Recording_Time_s,Arm_Angle_deg,PWM_Input_us,Duty_Cycle_percent
13.070244,21.686126,1225.00,6.1250
13.120962,21.717061,1225.00,6.1250
13.171032,21.776969,1225.00,6.1250
13.221974,21.613955,1225.00,6.1250
13.273035,21.553864,1225.00,6.1250
13.322957,21.558511,1225.00,6.1250
13.373971,21.597389,1225.00,6.1250
13.424968,21.663651,1225.00,6.1250
13.474950,21.751821,1225.00,6.1250
13.525977,21.822357,1225.00,6.1250
13.577029,21.861205,1225.00,6.1250
13.627098,21.892284,1225.00,6.1250
13.677954,21.934727,1225.00,6.1250
13.728957,21.951102,1225.00,6.1250
13.779959,21.964202,1225.00,6.1250
13.830187,21.974681,1225.00,6.1250
13.881027,22.035805,1225.00,6.1250
13.931140,21.838604,1225.00,6.1250
13.982068,21.733583,1225.00,6.1250
14.033018,21.684727,1225.00,6.1250
14.082965,21.698361,1225.00,6.1250
14.133960,21.762009,1225.00,6.1250
14.184030,21.812927,1225.00,6.1250
14.234975,21.871242,1225.00,6.1250
14.285967,21.917893,1225.00,6.1250
14.336027,21.920055,1225.00,6.1250
14.386971,21.851464,1225.00,6.1250
14.437954,21.743871,1225.00,6.1250
14.487961,21.587477,1225.00,6.1250
14.538959,21.655721,1225.00,6.1250
14.590150,21.622437,1225.00,6.1250
14.639969,21.525490,1225.00,6.1250
14.691026,21.641292,1225.00,6.1250
14.741950,21.663613,1225.00,6.1250
14.791962,21.628751,1225.00,6.1250
14.842971,21.530541,1225.00,6.1250
14.893973,21.399232,1225.00,6.1250
14.943967,21.276606,1225.00,6.1250
