Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
0.874417,9.536100,15.000000,1246.00,6.2300,5.463900
0.884425,9.536100,15.000000,1246.00,6.2300,5.463900
0.894525,9.536100,15.000000,1247.00,6.2350,5.463900
0.904770,9.536100,15.000000,1247.00,6.2350,5.463900
0.914792,9.536100,15.000000,1247.00,6.2350,5.463900
0.924723,9.536100,15.000000,1247.00,6.2350,5.463900
0.934718,9.536100,15.000000,1247.00,6.2350,5.463900
0.944886,9.536100,15.000000,1247.00,6.2350,5.463900
0.954735,9.536100,15.000000,1247.00,6.2350,5.463900
0.964909,9.536100,15.000000,1247.00,6.2350,5.463900
0.974990,9.536100,15.000000,1247.00,6.2350,5.463900
0.985461,9.536100,15.000000,1247.00,6.2350,5.463900
0.995474,9.536100,15.000000,1247.00,6.2350,5.463900
1.005370,9.536100,15.000000,1247.00,6.2350,5.463900
1.015515,9.536100,15.000000,1247.00,6.2350,5.463900
1.025576,9.536100,15.000000,1247.00,6.2350,5.463900
1.035632,9.536100,15.000000,1247.00,6.2350,5.463900
1.045662,9.536100,15.000000,1247.00,6.2350,5.463900
1.055610,9.536100,15.000000,1247.00,6.2350,5.463900
1.065832,9.536100,15.000000,1247.00,6.2350,5.463900
1.075849,9.536100,15.000000,1247.00,6.2350,5.463900
1.085905,9.536100,15.000000,1247.00,6.2350,5.463900
1.095927,9.536100,15.000000,1247.00,6.2350,5.463900
1.105890,9.536100,15.000000,1247.00,6.2350,5.463900
1.116038,9.536100,15.000000,1247.00,6.2350,5.463900
1.126106,9.536100,15.000000,1248.00,6.2400,5.463900
1.136166,9.536100,15.000000,1248.00,6.2400,5.463900
1.146312,9.536100,15.000000,1248.00,6.2400,5.463900
1.156170,9.536100,15.000000,1248.00,6.2400,5.463900
1.166312,9.536100,15.000000,1248.00,6.2400,5.463900
1.176416,9.536100,15.000000,1248.00,6.2400,5.463900
1.186428,9.536100,15.000000,1248.00,6.2400,5.463900
1.196486,9.536100,15.000000,1248.00,6.2400,5.463900
1.206457,9.536100,15.000000,1248.00,6.2400,5.463900
1.216506,9.536100,15.000000,1248.00,6.2400,5.463900
1.226612,9.536100,15.000000,1248.00,6.2400,5.463900
1.236623,9.536100,15.000000,1248.00,6.2400,5.463900
1.246757,9.536100,15.000000,1248.00,6.2400,5.463900
1.256780,9.536100,15.000000,1248.00,6.2400,5.463900
1.266914,9.536100,15.000000,1248.00,6.2400,5.463900
1.276917,9.536100,15.000000,1248.00,6.2400,5.463900
1.286956,9.536100,15.000000,1248.00,6.2400,5.463900
1.297015,9.536100,15.000000,1248.00,6.2400,5.463900
1.307012,9.536100,15.000000,1248.00,6.2400,5.463900
1.317080,9.536100,15.000000,1248.00,6.2400,5.463900
1.327140,9.536100,15.000000,1248.00,6.2400,5.463900
1.337263,9.536100,15.000000,1248.00,6.2400,5.463900
1.347197,9.536100,15.000000,1248.00,6.2400,5.463900
1.357228,9.536100,15.000000,1249.00,6.2450,5.463900
1.367376,9.536100,15.000000,1249.00,6.2450,5.463900
1.377332,9.536100,15.000000,1249.00,6.2450,5.463900
1.387397,9.536100,15.000000,1249.00,6.2450,5.463900
1.397369,9.536100,15.000000,1249.00,6.2450,5.463900
1.407466,9.536100,15.000000,1249.00,6.2450,5.463900
1.417609,9.536100,15.000000,1249.00,6.2450,5.463900
1.427574,9.536100,15.000000,1249.00,6.2450,5.463900
1.437619,9.536100,15.000000,1249.00,6.2450,5.463900
1.447656,9.536100,15.000000,1249.00,6.2450,5.463900
1.457708,9.536100,15.000000,1249.00,6.2450,5.463900
1.467797,9.536100,15.000000,1249.00,6.2450,5.463900
1.477875,9.536100,15.000000,1249.00,6.2450,5.463900
