# PropArm Data Recording
# Export Time: 2025-11-19T12:25:58
# Number of Points: 1046
# Recording Duration: 10.496 seconds
# Start Time: 2025-11-19T12:24:12
# End Time: 2025-11-19T12:24:23
#
Recording_Time_s,Arm_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent
2.079697,9.536100,0.000000,1000.00,5.0000
2.089840,9.536100,0.000000,1000.00,5.0000
2.099745,9.536100,0.000000,1000.00,5.0000
2.109855,9.536100,0.000000,1000.00,5.0000
2.119845,9.536100,0.000000,1000.00,5.0000
2.129902,9.536100,0.000000,1000.00,5.0000
2.139974,9.536100,0.000000,1000.00,5.0000
2.149955,9.536100,0.000000,1000.00,5.0000
2.160051,9.536100,0.000000,1000.00,5.0000
2.170082,9.536100,0.000000,1000.00,5.0000
2.180105,9.536100,0.000000,1000.00,5.0000
2.190250,9.536100,0.000000,1000.00,5.0000
2.200232,9.536100,0.000000,1000.00,5.0000
2.210269,9.536100,0.000000,1000.00,5.0000
2.220331,9.536100,0.000000,1000.00,5.0000
2.230441,9.536100,0.000000,1000.00,5.0000
2.240440,9.536100,0.000000,1000.00,5.0000
2.250476,9.536100,0.000000,1000.00,5.0000
2.260500,9.536100,0.000000,1000.00,5.0000
2.270526,9.536100,0.000000,1000.00,5.0000
2.280703,9.536100,0.000000,1000.00,5.0000
2.290690,9.536100,0.000000,1000.00,5.0000
2.300747,9.536100,0.000000,1000.00,5.0000
2.310753,9.536100,0.000000,1000.00,5.0000
2.320863,9.536100,0.000000,1000.00,5.0000
2.330971,9.536100,0.000000,1000.00,5.0000
2.340970,9.536100,0.000000,1000.00,5.0000
2.351028,9.536100,0.000000,1000.00,5.0000
2.361037,9.536100,0.000000,1000.00,5.0000
2.371022,9.536100,0.000000,1000.00,5.0000
2.381047,9.536100,0.000000,1000.00,5.0000
2.391213,9.536100,0.000000,1000.00,5.0000
2.401201,9.536100,0.000000,1000.00,5.0000
2.411257,9.536100,0.000000,1000.00,5.0000
2.421269,9.536100,0.000000,1000.00,5.0000
2.431353,9.536100,0.000000,1000.00,5.0000
2.441386,9.536100,0.000000,1000.00,5.0000
2.451435,9.536100,0.000000,1000.00,5.0000
2.461488,9.536100,0.000000,1000.00,5.0000
2.471475,9.536100,0.000000,1000.00,5.0000
2.481555,9.536100,0.000000,1000.00,5.0000
2.491618,9.536100,0.000000,1000.00,5.0000
2.501638,9.536100,0.000000,1000.00,5.0000
2.511725,9.536100,0.000000,1000.00,5.0000
2.521748,9.536100,0.000000,1000.00,5.0000
2.531698,9.536100,0.000000,1000.00,5.0000
2.541772,9.536100,0.000000,1000.00,5.0000
2.551839,9.536100,0.000000,1000.00,5.0000
2.561923,9.536100,0.000000,1000.00,5.0000
2.571823,9.536100,0.000000,1000.00,5.0000
2.581837,9.536100,0.000000,1000.00,5.0000
2.591954,9.536100,0.000000,1000.00,5.0000
2.601968,9.536100,0.000000,1000.00,5.0000
2.612067,9.536100,0.000000,1000.00,5.0000
2.622008,9.536100,0.000000,1000.00,5.0000
2.632042,9.536100,0.000000,1000.00,5.0000
2.642052,9.536100,0.000000,1000.00,5.0000
2.652162,9.536100,0.000000,1000.00,5.0000
2.662242,9.536100,0.000000,1000.00,5.0000
2.672189,9.536100,0.000000,1000.00,5.0000
2.682193,9.536100,0.000000,1000.00,5.0000
2.692325,9.536100,0.000000,1000.00,5.0000
2.702363,9.536100,0.000000,1000.00,5.0000
2.712403,9.536100,0.000000,1000.00,5.0000
2.722403,9.536100,0.000000,1000.00,5.0000
2.732471,9.536100,0.000000,1000.00,5.0000
2.742476,9.536100,0.000000,1000.00,5.0000
2.752623,9.536100,0.000000,1000.00,5.0000
2.762652,9.536100,0.000000,1000.00,5.0000
2.772684,9.536100,0.000000,1000.00,5.0000
2.782647,9.536100,0.000000,1000.00,5.0000
2.792712,9.536100,0.000000,1000.00,5.0000
2.802749,9.536100,0.000000,1000.00,5.0000
2.812779,9.536100,0.000000,1000.00,5.0000
2.822786,9.536100,0.000000,1000.00,5.0000
2.832807,9.536100,0.000000,1000.00,5.0000
2.842859,9.536100,0.000000,1000.00,5.0000
2.852907,9.536100,0.000000,1000.00,5.0000
2.862977,9.536100,0.000000,1000.00,5.0000
2.873002,9.536100,0.000000,1000.00,5.0000
2.883069,9.536100,0.000000,1000.00,5.0000
2.893090,9.536100,0.000000,1000.00,5.0000
2.903151,9.536100,0.000000,1000.00,5.0000
2.913126,9.536100,0.000000,1000.00,5.0000
2.923171,9.536100,0.000000,1000.00,5.0000
2.933220,9.536100,0.000000,1000.00,5.0000
2.943222,9.536100,0.000000,1000.00,5.0000
2.953295,9.536100,0.000000,1000.00,5.0000
2.963371,9.536100,0.000000,1000.00,5.0000
2.973501,9.536100,0.000000,1000.00,5.0000
2.983382,9.536100,0.000000,1000.00,5.0000
2.993444,9.536100,0.000000,1000.00,5.0000
3.003523,9.536100,0.000000,1000.00,5.0000
3.013606,9.536100,0.000000,1000.00,5.0000
3.023651,9.536100,0.000000,1000.00,5.0000
3.033748,9.536100,0.000000,1000.00,5.0000
3.043747,9.536100,0.000000,1000.00,5.0000
3.053769,9.536100,0.000000,1000.00,5.0000
3.063886,9.536100,0.000000,1000.00,5.0000
3.073863,9.536100,0.000000,1000.00,5.0000
3.083923,9.536100,0.000000,1000.00,5.0000
3.094033,9.536100,0.000000,1000.00,5.0000
3.104130,9.536100,0.000000,1000.00,5.0000
3.114199,9.536100,0.000000,1000.00,5.0000
3.124166,9.536100,0.000000,1000.00,5.0000
3.134227,9.536100,0.000000,1000.00,5.0000
3.144329,9.536100,0.000000,1000.00,5.0000
3.154287,9.536100,0.000000,1000.00,5.0000
3.164442,9.536100,0.000000,1000.00,5.0000
3.174408,9.536100,0.000000,1000.00,5.0000
3.184487,9.536100,0.000000,1000.00,5.0000
3.194631,9.536100,0.000000,1000.00,5.0000
3.204625,9.536100,0.000000,1000.00,5.0000
3.214691,9.536100,0.000000,1000.00,5.0000
3.224734,9.536100,0.000000,1000.00,5.0000
3.234798,9.536100,0.000000,1000.00,5.0000
3.244898,9.536100,0.000000,1000.00,5.0000
3.254848,9.536100,0.000000,1000.00,5.0000
3.264961,9.536100,0.000000,1000.00,5.0000
3.275010,9.536100,0.000000,1000.00,5.0000
3.285084,9.536100,0.000000,1000.00,5.0000
3.295038,9.536100,0.000000,1000.00,5.0000
3.305125,9.536100,0.000000,1000.00,5.0000
3.315066,9.536100,0.000000,1000.00,5.0000
3.325178,9.536100,0.000000,1000.00,5.0000
3.335288,9.536100,0.000000,1000.00,5.0000
3.345480,9.536100,0.000000,1000.00,5.0000
3.355329,9.536100,0.000000,1000.00,5.0000
3.365325,9.536100,0.000000,1000.00,5.0000
3.375335,9.536100,0.000000,1000.00,5.0000
3.385507,9.536100,0.000000,1000.00,5.0000
3.395530,9.536100,0.000000,1000.00,5.0000
3.405598,9.536100,0.000000,1000.00,5.0000
3.415548,9.536100,0.000000,1000.00,5.0000
3.425589,9.536100,0.000000,1000.00,5.0000
3.435686,9.536100,0.000000,1000.00,5.0000
3.445704,9.536100,0.000000,1000.00,5.0000
3.455789,9.536100,0.000000,1000.00,5.0000
3.465743,9.536100,0.000000,1000.00,5.0000
