# PropArm Data Recording
# Export Time: 2025-11-19T14:19:50
# Number of Points: 995
# Recording Duration: 9.993 seconds
# Start Time: 2025-11-19T14:19:05
# End Time: 2025-11-19T14:19:15
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us
2.011022,23.214017,0.000000,461.078984,1257.00
2.020976,23.020482,0.000000,460.587951,1257.00
2.031025,22.835286,0.000000,460.073052,1256.00
2.041223,22.661592,0.000000,459.568338,1256.00
2.051194,22.496551,0.000000,459.073609,1256.00
2.061231,22.342709,0.000000,458.555086,1255.00
2.071393,22.198233,0.000000,458.046821,1255.00
2.081327,22.064728,0.000000,457.548610,1255.00
2.091440,21.941427,0.000000,457.026675,1254.00
2.101428,21.828569,0.000000,456.515065,1254.00
2.111460,21.726561,0.000000,456.013575,1254.00
2.121479,21.634689,0.000000,455.488426,1253.00
2.131588,21.553794,0.000000,454.973665,1253.00
2.141583,21.483073,0.000000,454.469088,1253.00
2.151621,21.423574,0.000000,453.940912,1252.00
2.161745,21.373930,0.000000,453.423184,1252.00
2.171960,21.334807,0.000000,452.882117,1251.00
2.181901,21.305786,0.000000,452.385335,1252.00
2.191923,21.286785,0.000000,451.864800,1251.00
2.202004,21.277820,0.000000,451.354562,1251.00
2.212097,21.278726,0.000000,450.854418,1251.00
2.222142,21.288995,0.000000,450.330587,1250.00
2.232119,21.309014,0.000000,449.817119,1250.00
2.242107,21.338128,0.000000,449.313809,1249.00
2.252130,21.376624,0.000000,448.786874,1249.00
2.262282,21.423562,0.000000,448.270364,1249.00
2.272380,21.479353,0.000000,447.730491,1248.00
2.282325,21.543376,0.000000,447.201297,1248.00
2.292385,21.614972,0.000000,446.682573,1248.00
2.302605,21.694918,0.000000,446.140529,1247.00
2.312498,21.781580,0.000000,445.609208,1247.00
2.322735,21.876007,0.000000,445.088399,1247.00
2.332635,21.976775,0.000000,444.577892,1247.00
2.342631,22.083883,0.000000,444.043903,1246.00
2.353247,22.197381,0.000000,443.520478,1246.00
2.362921,22.315824,0.000000,443.007408,1246.00
2.373138,22.440480,0.000000,442.470907,1245.00
2.382936,22.569014,0.000000,441.945019,1245.00
2.393037,22.702352,0.000000,441.429534,1245.00
2.403033,22.839620,0.000000,440.924247,1245.00
2.413059,22.979947,0.000000,440.395375,1244.00
2.423374,23.124483,0.000000,439.876966,1244.00
2.433193,23.270722,0.000000,439.368812,1244.00
2.443244,23.420201,0.000000,438.870710,1244.00
2.453220,23.571588,0.000000,438.348882,1243.00
2.463348,23.723673,0.000000,437.837376,1243.00
2.473678,23.877866,0.000000,437.335990,1243.00
2.483473,24.031491,0.000000,436.844522,1243.00
2.493557,24.185958,0.000000,436.329195,1242.00
2.503650,24.340074,0.000000,435.824063,1242.00
2.513682,24.492515,0.000000,435.328924,1242.00
2.524033,24.644896,0.000000,434.843580,1242.00
2.533909,24.794854,0.000000,434.367838,1242.00
2.543984,24.943542,0.000000,433.867926,1241.00
2.553919,25.090119,0.000000,433.377903,1241.00
2.563954,25.232908,0.000000,432.897575,1241.00
2.574225,25.373840,0.000000,432.426748,1241.00
2.584110,25.510534,0.000000,431.965236,1241.00
2.594203,25.643154,0.000000,431.512853,1241.00
2.604254,25.772451,0.000000,431.035839,1240.00
2.614182,25.896281,0.000000,430.568262,1240.00
2.624429,26.015618,0.000000,430.109934,1240.00
2.634348,26.129692,0.000000,429.660673,1240.00
2.644334,26.237480,0.000000,429.220300,1240.00
2.654326,26.339585,0.000000,428.788639,1240.00
2.664388,26.435103,0.000000,428.365517,1240.00
2.674586,26.523783,0.000000,427.950765,1240.00
2.684566,26.606041,0.000000,427.510637,1239.00
2.694613,26.680291,0.000000,427.079216,1239.00
2.704537,26.747133,0.000000,426.656330,1239.00
2.714627,26.806399,0.000000,426.241810,1239.00
2.724783,26.857073,0.000000,425.835489,1239.00
2.734751,26.899820,0.000000,425.437207,1239.00
2.744790,26.934140,0.000000,425.046804,1239.00
2.754786,26.959510,0.000000,424.664124,1239.00
2.764822,26.976481,0.000000,424.289015,1239.00
2.774981,26.984446,0.000000,423.921326,1239.00
2.784955,26.983231,0.000000,423.527330,1238.00
2.795033,26.972847,0.000000,423.141128,1238.00
2.805146,26.953268,0.000000,422.762566,1238.00
2.815070,26.924312,0.000000,422.391494,1238.00
2.825149,26.885752,0.000000,422.027762,1238.00
2.835169,26.838194,0.000000,421.671225,1238.00
2.845264,26.781274,0.000000,421.321742,1238.00
2.855399,26.714629,0.000000,420.979172,1238.00
2.865403,26.638931,0.000000,420.643380,1238.00
2.875816,26.553827,0.000000,420.314230,1238.00
2.885493,26.458920,0.000000,419.991592,1238.00
2.895549,26.354976,0.000000,419.675336,1238.00
2.905883,26.241337,0.000000,419.365336,1238.00
2.915782,26.118006,0.000000,419.061470,1238.00
2.925868,25.986285,0.000000,418.763614,1238.00
2.936428,25.845349,0.000000,418.471651,1238.00
2.946118,25.694984,0.000000,418.185463,1238.00
2.956084,25.536955,0.000000,417.904937,1238.00
2.966149,25.369995,0.000000,417.596380,1237.00
2.976117,25.194117,0.000000,417.293927,1237.00
2.987073,25.011350,0.000000,416.997457,1237.00
2.996578,24.820229,0.000000,416.706852,1237.00
3.006973,24.620494,0.000000,416.421996,1237.00
3.016560,24.414928,0.000000,416.142775,1237.00
3.026565,24.201974,0.000000,415.869078,1237.00
3.036836,23.980779,0.000000,415.600795,1237.00
3.046705,23.754761,0.000000,415.337819,1237.00
3.057213,23.522395,0.000000,415.080046,1237.00
3.066870,23.282699,0.000000,414.827373,1237.00
3.076935,23.039050,0.000000,414.579697,1237.00
3.086965,22.790419,0.000000,414.336922,1237.00
3.096968,22.535354,0.000000,414.098949,1237.00
3.107234,22.277319,0.000000,413.865684,1237.00
3.117276,22.015782,0.000000,413.637033,1237.00
3.127213,21.748649,0.000000,413.379325,1236.00
3.137218,21.478966,0.000000,413.126715,1236.00
3.147256,21.207622,0.000000,412.879103,1236.00
3.157488,20.931794,0.000000,412.636388,1236.00
3.167613,20.654579,0.000000,412.398476,1236.00
3.177505,20.377380,0.000000,412.165269,1236.00
3.187773,20.097040,0.000000,411.936676,1236.00
3.197597,19.815646,0.000000,411.712606,1236.00
3.207693,19.535995,0.000000,411.492968,1236.00
3.217985,19.255569,0.000000,411.244094,1235.00
3.227891,18.974572,0.000000,411.000143,1235.00
3.237983,18.696604,0.000000,410.761019,1235.00
3.247956,18.419717,0.000000,410.526625,1235.00
3.257963,18.143234,0.000000,410.296867,1235.00
3.268010,17.871060,0.000000,410.071655,1235.00
3.278138,17.602240,0.000000,409.850899,1235.00
3.288034,17.334706,0.000000,409.600928,1234.00
3.298120,17.071453,0.000000,409.355903,1234.00
3.308259,16.813672,0.000000,409.115725,1234.00
3.318230,16.558791,0.000000,408.880298,1234.00
3.328352,16.308892,0.000000,408.649528,1234.00
3.338209,16.066187,0.000000,408.423324,1234.00
3.348310,15.828366,0.000000,408.168014,1233.00
3.358438,15.595726,0.000000,407.917754,1233.00
3.368542,15.371343,0.000000,407.672445,1233.00
3.378571,15.154030,0.000000,407.431989,1233.00
3.388478,14.942521,0.000000,407.196290,1233.00
3.398572,14.739483,0.000000,406.931673,1232.00
3.408687,14.545130,0.000000,406.672290,1232.00
3.418890,14.357617,0.000000,406.418039,1232.00
3.428761,14.178211,0.000000,406.168818,1232.00
3.438701,14.008840,0.000000,405.890945,1231.00
3.448757,13.847820,0.000000,405.618570,1231.00
3.458950,13.694888,0.000000,405.351583,1231.00
3.469655,13.552216,0.000000,405.089878,1231.00
3.479018,13.419743,0.000000,404.799769,1230.00
3.488958,13.295953,0.000000,404.515400,1230.00
3.499081,13.182350,0.000000,404.236655,1230.00
3.509170,13.079370,0.000000,403.963425,1230.00
3.519807,12.986158,0.000000,403.662020,1229.00
3.529343,12.902969,0.000000,403.366577,1229.00
3.539575,12.830762,0.000000,403.076978,1229.00
3.549389,12.768897,0.000000,402.793109,1229.00
3.559424,12.717124,0.000000,402.481274,1228.00
3.569905,12.675899,0.000000,402.175608,1228.00
3.579759,12.645466,0.000000,401.875989,1228.00
3.590080,12.625418,0.000000,401.582297,1228.00
3.599896,12.615711,0.000000,401.260835,1227.00
3.609935,12.616407,0.000000,400.945732,1227.00
3.620072,12.627385,0.000000,400.636862,1227.00
3.630111,12.648540,0.000000,400.334102,1227.00
3.640151,12.679769,0.000000,400.003751,1226.00
3.650202,12.720633,0.000000,399.679935,1226.00
3.660220,12.771195,0.000000,399.362525,1226.00
3.670308,12.831558,0.000000,399.051395,1226.00
3.680206,12.900981,0.000000,398.712838,1225.00
3.690282,12.978988,0.000000,398.380979,1225.00
3.700451,13.066247,0.000000,398.055685,1225.00
3.710398,13.162469,0.000000,397.703245,1224.00
3.720622,13.266531,0.000000,397.357777,1224.00
3.730425,13.378184,0.000000,397.019143,1224.00
3.740665,13.498076,0.000000,396.687209,1224.00
3.750715,13.625552,0.000000,396.361841,1224.00
3.760704,13.759186,0.000000,396.009329,1223.00
3.770781,13.899365,0.000000,395.663790,1223.00
3.780753,14.046775,0.000000,395.325087,1223.00
3.790849,14.199869,0.000000,394.993084,1223.00
3.800772,14.357068,0.000000,394.634069,1222.00
3.810892,14.519689,0.000000,394.282155,1222.00
3.821235,14.688096,0.000000,393.937204,1222.00
3.830989,14.860511,0.000000,393.599076,1222.00
3.841301,15.035764,0.000000,393.267638,1222.00
3.851148,15.214751,0.000000,392.909175,1221.00
3.861249,15.397722,0.000000,392.557803,1221.00
3.871207,15.582668,0.000000,392.213383,1221.00
3.881395,15.768527,0.000000,391.875776,1221.00
3.891608,15.956482,0.000000,391.544848,1221.00
3.901365,16.146775,0.000000,391.186885,1220.00
3.911570,16.337221,0.000000,390.836004,1220.00
3.921633,16.526584,0.000000,390.492064,1220.00
3.931590,16.716432,0.000000,390.154929,1220.00
3.941622,16.906693,0.000000,389.824462,1220.00
3.951611,17.095451,0.000000,389.500534,1220.00
3.961746,17.281078,0.000000,389.149432,1219.00
3.971870,17.464825,0.000000,388.906019,1222.00
3.981874,17.647497,0.000000,388.566678,1219.00
3.991899,17.827071,0.000000,388.234051,1219.00
4.001955,18.002210,0.000000,387.908003,1219.00
